map,seed,condition,method,loop_id,loop_vertex,target_attributable,active_loop_distance_m,active_loop_time_s,local_boundary_f1,local_symmetric_boundary_distance_mean_m,local_observed_coverage
map3,21004,B,Always-Trace,2,26,False,58.19697770926874,174.5,,,1.0
map3,21004,C,Selective,2,26,False,25.050578923688885,76.10000000000002,,,1.0
map3,21004,A,Original,3,35,False,28.435795906295684,66.69999999999982,,,1.0
map3,21004,B,Always-Trace,3,35,False,53.24855405697942,186.39999999999986,,,1.0
map3,21004,C,Selective,3,35,False,21.520913847804906,60.0,,,1.0
map3,21005,A,Original,5,8,False,36.28512698654732,80.09999999999991,0.6837606837606837,0.17727272727272725,0.9648603423864075
map3,21005,B,Always-Trace,5,8,False,44.413534384332905,120.89999999999964,0.025316455696202535,1.1031325166504937,0.9944651821341228
map3,21005,C,Selective,5,8,False,6.812839525026501,11.700000000000045,0.7493495229835212,0.5277854533900335,0.9750289612562749
map3,21005,A,Original,1,15,False,16.723169014430876,52.0,0.0,,1.0
map3,21005,B,Always-Trace,1,15,False,38.279939379694895,121.19999999999999,0.0,,1.0
map3,21005,C,Selective,1,15,False,17.03719407512928,49.89999999999998,0.0,,1.0
map3,21005,A,Original,4,22,False,19.29255062919259,65.29999999999995,0.0,0.684213821697635,0.9666496294403271
map3,21005,B,Always-Trace,4,22,False,68.91697181009663,491.29999999999995,0.45508982035928147,0.42180460248634716,0.9945054945054945
map3,21005,C,Selective,4,22,False,30.71156177501979,91.0,0.0,0.7021760034291044,0.9685663174035267
map3,21005,A,Original,2,26,False,24.82886774462149,56.19999999999993,0.0,,1.0
map3,21005,B,Always-Trace,2,26,False,50.84093993402386,168.30000000000007,,,1.0
map3,21005,C,Selective,2,26,False,16.18499579038335,24.100000000000023,,,1.0
map3,21005,A,Original,3,35,False,19.013164230016024,66.90000000000009,,,1.0
map3,21005,B,Always-Trace,3,35,False,49.53660608931101,184.29999999999995,,,1.0
map3,21005,C,Selective,3,35,False,18.474077730666547,59.09999999999991,,,1.0
map8,21001,A,Original,1,20,False,19.63812180009681,40.10000000000002,0.9753086419753086,0.1049895085667537,0.9160432252701579
